Final	Q1	Q2	A1	A2
#	80	100	20	30
30.32	0	0	0	0
34.95	0	20	0	0
51.59	0	100	15.5	28
55.35	70	85	20	17
55.42	0	95	0	0
56.39	65	78.33333	4	30
57.29	50	0	0	19
58.32	72.5	61.66667	14	23
59.68	65	55	20	29
61.36	60	90	16.5	17
64.08	75	61.66667	20	29
64.60	75	80	20	28
64.95	60	81.66667	14.5	14.6
65.87	0	60	0	22
66.59	65	85	20	29.8
68.15	65	80	19.8	12
68.60	50	50	20	30
68.81	0	45	20	0
69.09	50	65	0	18
71.29	55	66.66667	0	15
71.45	60	70	13	27.5
71.66	0	6.66667	20	22.5
71.77	55	75	13	23.5
73.90	65	0	19.8	17
77.00	75	85	16.5	26
77.02	80	86.66667	20	27
77.18	50	0	17	15
77.31	65	61.66667	16.3	21.5
78.61	60	80	17	27.5
79.48	55	0	20	23.5
79.69	75	95	19.8	26
80.02	75	85	20	29.8
80.69	60	95	20	30
82.14	70	66.66667	17	21
83.85	80	100	19.5	12.5
84.33	75	81.66667	20	24
85.64	65	65	17	28.5
85.95	65	91.66667	15.8	28
86.24	65	95	19.8	29.5
86.96	60	80	19.6	27.5
89.72	65	100	20	29
90.31	80	90	18	27
90.39	65	100	18.6	27
91.11	60	90	20	30
91.23	80	90	20	29.1
92.15	80	90	20	30.1
92.46	70	90	20	29.8
92.65	65	75	20	30
92.93	75	85	19.8	29.5
93.60	75	90	20	29
93.87	55	95	17.8	30
94.94	80	95	20	26
96.20	75	100	19	30
96.89	65	85	20	30
98.57	80	75	20	30.1
98.72	65	90	19.8	30
